Orthophosphate,Ammonium,Nitrite,Nitrate,Nitrite + Nitrate,Chlorophyll,Temperature of water,Specific Conductance ,Salinity,Dissolved Oxygen,Air Temperature ,Precipitation,year,month
0.03565,0.09,0.0094,0.22435,0.2338,0.99,13.59143646,49.04922844,32.03280857,8.804477339,13.13408424,37.047,2003,1
0.03605,0.065,0.00455,0.0567,0.0612,0.935,13.08683036,50.29789435,32.92157738,7.923824786,10.98604911,43.901,2003,2
0.03675,0.066,0.0036,0.0396,0.0432,1.135,13.84979995,49.84950535,32.62139597,7.578032008,11.62046371,25.124,2003,3
0.05,0.069,0.0099,0.2703,0.2802,0.87,13.40070437,50.35414881,32.96869048,6.483032407,11.30017361,63.199,2003,4
0.09435,0.071475,0.004125,0.097025,0.101175,1.845,13.85145929,50.51258333,32.67400794,7.942916667,12.99109543,7.106,2003,5
0.09435,0.071475,0.004125,0.097025,0.101175,1.845,14.6995105,50.32588389,32.92723459,8.068248645,14.43645833,0,2003,6
0.04135,0.1522,0.0087,0.27155,0.2803,0.4,14.89732817,49.3582187,32.54584241,7.506646396,14.32093414,0,2003,7
0.04135,0.1522,0.0087,0.27155,0.2803,0.4,16.27318548,49.32923387,32.28978495,6.230206206,16.5437836,1.269,2003,8
0.02895,0.128,0.0059,0.071,0.0769,0.305,16.20413647,49.58401751,32.47839372,7.5529,16.33604167,0,2003,9
0.0278,0.062,0.00555,0.05075,0.05625,0.64,13.67803885,48.94660088,31.95795739,7.086152882,15.89452285,0,2003,10
0.02655,0.0653,0.00645,0.0673,0.07445,0.27,13.55447712,48.39228316,31.55156359,7.156358596,10.87354167,38.575,2003,11
0.03055,0.0655,0.00775,0.1368,0.14455,0.49,12.7453629,46.54164007,30.1895962,8.000983627,10.92150538,144.148,2003,12
0.0893,0.1478,0.02755,0.9583,0.98585,1.305,12.3135325,45.74355816,29.60192449,7.380199169,9.544656103,49.989,2004,1
0.04345,0.0664,0.0114,0.3168,0.3282,1.685,12.23034634,48.35902337,31.48185496,7.985964912,10.34614851,129.935,2004,2
0.0543,0.0772,0.00545,0.21845,0.2239,2.67,13.51287911,48.31504871,31.49499714,7.628155558,12.82316716,18.018,2004,3
0.04275,0.04815,0.00945,0.2515,0.26095,2.17,12.99211045,51.39469551,33.71692554,7.103380615,12.30071977,7.106,2004,4
0.0231,0.0417,0.0055,0.0621,0.0676,2.01,15.03076923,50.62233173,33.21877003,10.33622312,13.44624029,3.046,2004,5
0.0395,0.05055,0.0072,0.17615,0.18335,2.93,14.27715278,49.99678472,32.73791667,7.833194444,14.15545177,0,2004,6
0.0405,0.07845,0.0042,0.0516,0.0558,3.115,15.62473118,49.99826613,32.77486559,7.625268817,14.27623161,0.254,2004,7
0.0405,0.0456,0.0075,0.0483,0.0558,1.995,15.99032258,49.79070443,32.6264619,7.202620968,14.92428338,0,2004,8
0.046,0.00465,0.0065,0.16295,0.16945,0.39,15.59436761,48.94758905,31.9948874,7.175042265,15.32299728,0.508,2004,9
0.03585,0.03295,0.0046,0.2423,0.2469,2.255,14.51532258,48.58361559,31.71915323,7.188018926,13.59570502,83.242,2004,10
0.03295,0.0755,0.00565,0.10075,0.1064,2.665,14.17145833,47.27932639,30.76729167,6.635694444,11.55550964,34.518,2004,11
0.04735,0.1006,0.01265,0.16545,0.1781,0.92,12.5843126,48.42075557,31.54322197,8.049011137,10.68279472,159.372,2004,12
0.0832,0.09395,0.0206,0.4944,0.515,2.575,13.24915078,46.57926197,30.2382087,7.922660068,10.50558269,103.783,2005,1
0.04735,0.1006,0.01265,0.16545,0.1781,0.92,13.79099702,47.17212054,30.68191964,6.968351449,12.01663459,103.54,2005,2
0.0832,0.09395,0.0206,0.4944,0.515,2.575,14.54375,46.57174731,30.27358871,7.269825269,12.62547839,108.364,2005,3
0.0763,0.06775,0.01395,0.4265,0.44045,5.53,13.78640673,47.28277577,30.75606582,7.880227547,12.04883898,27.662,2005,4
0.04815,0.03955,0.0069,0.035,0.0419,6.085,15.35987903,48.71065188,31.82883065,7.011021505,14.00999733,17.766,2005,5
0.0388,0.036,0.0059,0.051,0.0569,2.49,14.488125,49.58931376,32.44762302,7.582841931,13.12190083,1.777,2005,6
0.0299,0.07175,0.0048,0.01545,0.02025,7,15.22695321,49.27634523,32.23678935,7.674116335,14.64,0,2005,7
0.0306,0.0467,0.00525,0.0411,0.04635,5.245,15.65060484,48.00239247,31.3186828,7.163257576,15.31,0,2005,8
0.03765,0.0529,0.0058,0.03095,0.03675,2.515,15.47221336,47.94453928,31.27207441,7.944544719,15.2,0,2005,9
0.0412,0.04525,0.00395,0.0214,0.02535,3.045,13.93803763,48.26171918,31.46471899,7.565888499,12.74409786,3.554,2005,10
0.05175,0.0613,0.00655,0.0199,0.02645,1.8,12.98520833,47.56757314,30.93792553,8.450356985,14.03768595,18.529,2005,11
0.03555,0.01805,0.0056,0.0495,0.0551,3.59,12.34497531,46.34870905,30.04888253,8.328121093,12.44036257,159.371,2005,12
0.0678,0.1646,0.0367,0.2921,0.3288,1.29,12.37752496,48.20099366,31.3765841,7.929013057,11.24444148,89.083,2006,1
0.0496,0.0516,0.00915,0.0857,0.09485,1.285,11.838567,51.68440714,33.87539735,7.445863412,11.65442739,28.423,2006,2
0.04675,0.0545,0.01255,0.24825,0.2608,4.96,12.50987903,47.62528898,30.96619624,8.429099462,10.14302853,129.674,2006,3
0.06,0.06945,0.01385,0.22775,0.2416,5.34,13.37125,45.8818076,29.74044628,7.433333333,12.78531681,92.891,2006,4
0.0557,0.0506,0.01,0.13195,0.14195,3,14.1099328,50.48729229,33.11040547,7.427437276,13.71440814,15.727,2006,5
0.05585,0.0929,0.00825,0.11945,0.1277,2.225,14.41946078,48.49017647,31.64578431,7.866764706,15.13600551,0,2006,6
0.0448,0.0206,0.0039,0.1917,0.1956,3.525,16.07885802,52.35715586,34.51183642,7.601682099,15.41739803,0.508,2006,7
0.04345,0.05345,0.0073,0.04495,0.05225,19.785,16.93689123,51.89276786,34.18946158,6.909496753,15.15130626,0,2006,8
0.05145,0.02965,0.00265,0.14605,0.1487,10.975,15.8581,48.2847,31.5304,7.5495,14.27518299,0,2006,9
0.02055,0.0261,0.0037,0.04505,0.04875,5.985,14.0802,48.6228,31.733,7.4342,14.36579301,3.047,2006,10
0.03625,0.0665,0.00445,0.0255,0.02995,5.55,13.3866,47.5297,30.9238,7.3852,12.37072917,32.738,2006,11
0.0375,0.04,0.00515,0.07475,0.0799,1.6,12.1844,47.485,30.8469,7.9761,10.35772849,84.508,2006,12
0.0329,0.01645,0.0068,0.1767,0.1835,4.255,11.01573433,50.22017048,32.81430993,9.673320821,8.21374328,24.107,2007,1
0.0514,0.0741,0.00675,0.00945,0.0162,5.06,12.78154762,50.24962316,32.87751225,9.767684261,10.634375,96.176,2007,2
0.0809,0.0796,0.0129,0.1107,0.12205,2.23,12.86633065,47.5777,30.9482,7.8867,11.44768145,7.107,2007,3
0.051,0.06725,0.0129,0.4023,0.4152,4.29,12.46174242,48.7577,31.7796,7.1229,11.14552083,29.437,2007,4
0.1716,0.04015,0.01055,0.00465,0.0152,1.885,12.67405914,50.2235,32.8881,7.367826122,12.22842742,7.869,2007,5
0.0388,0.0637,0.00555,0.2726,0.27815,5.32,14.55681008,49.1693,32.1424,8.418900966,12.65673611,0.508,2007,6
0.04485,0.04585,0.00375,0.05845,0.0622,0.785,15.35887097,50.1706,32.8785,8.930611559,15.0265793,4.315,2007,7
0.045,0.045,0.0038,0.061,0.068,4.645,15.8296371,49.5063,32.5044,8.698497531,15.21172715,1.015,2007,8
