Orthophosphate,Ammonium,Nitrite,Nitrate,Nitrite + Nitrate,Chlorophyll,Temperature of water,Specific Conductance ,Salinity,Dissolved Oxygen,Air Temperature ,Precipitation,year,month
0.0692,0.1,0.03745,0.28755,0.32505,3.89,13.6884952,43.95789179,28.37426218,7.310762697,13.13408424,37.047,2003,1
0.03075,0.06,0.0079,0.07235,0.08025,2.205,13.04940476,46.53058036,30.1610119,7.858333333,10.98604911,43.901,2003,2
0.03275,0.13,0.0041,0.11245,0.11655,2.735,16.64233871,44.88663306,29.05829749,5.898319892,11.62046371,25.124,2003,3
0.1435,0.08,0.01565,0.033,0.0487,2.345,16.99618056,48.179,31.42597222,6.750416667,11.30017361,63.199,2003,4
0.0923,0.07,0.00345,0.0116,0.0151,3.2,19.20591398,48.76322581,31.86814516,8.310685484,12.99109543,7.106,2003,5
0.09625,0.0827,0.0026,0.0274,0.0288,5.65,19.92736111,51.33697917,33.76243056,6.693611111,14.43645833,0,2003,6
0.06135,0.158,0.0055,0.03705,0.0426,1.915,20.96189516,53.61749328,35.45228495,5.031048387,14.32093414,0,2003,7
0.1496,0.13855,0.00465,0.00815,0.01285,1.58,20.72412634,53.29492608,35.21626344,4.616397849,16.5437836,1.269,2003,8
0.06875,0.13795,0.0043,0.00675,0.0111,0.76,19.47701389,52.49116667,34.62263889,5.934305556,16.33604167,0,2003,9
0.0477,0.10785,0.013,0.0137,0.02665,1.16,15.90182674,51.20120235,33.62832356,6.013117058,15.89452285,0,2003,10
0.03245,0.0456,0.00625,0.0134,0.02035,0.635,10.6355754,48.51820139,31.46066468,7.337242063,10.87354167,38.575,2003,11
0.03245,0.0478,0.0067,0.04665,0.0533,0.36,7.328356196,46.06003648,29.51956404,8.879769719,10.92150538,144.148,2003,12
0.10625,0.1304,0.03975,0.9339,0.97365,1.84,10.05,41.86835349,26.46234115,9.916080156,9.544656103,49.989,2004,1
0.07035,0.07255,0.0212,0.1322,0.1534,3.395,13.04,42.0293077,26.56800514,9.817861464,10.34614851,129.935,2004,2
0.08535,0.1053,0.0042,0.0373,0.0415,3,16.55,45.39008918,29.16509191,8.306477042,12.82316716,18.018,2004,3
0.0876,0.12605,0.0212,0.0107,0.0319,3.185,20.38225694,54.15724306,35.39923611,7.291666667,12.30071977,7.106,2004,4
0.0975,0.15,0.00995,0.03,0.00315,5.445,20.02768817,54.44602151,36.04778226,6.604233871,13.44624029,3.046,2004,5
0.1311,0.1657,0.0081,0.0015,0.0077,4.475,19.60986111,53.91990972,35.67611111,5.959791667,14.15545177,0,2004,6
0.07375,0.0788,0.00385,0.00115,0.005,2.855,20.29630376,53.09094758,35.07049731,4.330376344,14.27623161,0.254,2004,7
0.04725,0.05925,0.00825,0.0031,0.01135,5.855,20.60120968,52.92670027,34.95053763,4.232123656,14.92428338,0,2004,8
0.08835,0.0518,0.00355,0.007,0.00255,2.56,19.54277778,50.36822222,33.04756944,5.022708333,15.32299728,0.508,2004,9
0.0952,0.3429,0.0102,0.0213,0.0315,0.6,16.55759409,47.82593414,31.20819892,5.516263441,13.59570502,83.242,2004,10
0.04355,0.0885,0.0014,0.005,0.0026,1.51,12.98201389,46.61181944,30.21194444,6.039583333,11.55550964,34.518,2004,11
0.04755,0.043,0.00295,0.02925,0.0322,3.435,11.08111559,45.55605511,29.40692204,6.422916667,10.68279472,159.372,2004,12
0.16815,0.4168,0.07245,0.99535,1.0678,1.07,12.13635753,35.88517473,22.68723118,7.044276316,10.50558269,103.783,2005,1
0.054,0.07705,0.0127,0.09895,0.11165,2.29,14.5328869,38.0605506,24.27251488,7.508482143,12.01663459,103.54,2005,2
0.0899,0.1771,0.03115,0.3341,0.36525,3.535,17.03629032,35.56448925,22.55907258,6.454435484,12.62547839,108.364,2005,3
0.09945,0.09735,0.0116,0.06605,0.07765,8.115,17.93569444,40.69570139,26.07604167,6.766805556,12.04883898,27.662,2005,4
0.10475,0.076,0.0094,0.016,0.0073,8.59,20.10584677,51.10469086,33.58662634,5.707728495,14.00999733,17.766,2005,5
0.10495,0.09985,0.0079,0.009,0.0025,5.76,19.71840278,53.24980556,35.17631944,5.480763889,13.12190083,1.777,2005,6
0.0907,0.0867,0.00585,0.011,0.0032,13.34,20.53259409,51.61826613,33.98602151,3.647983871,14.64,0,2005,7
0.14395,0.08895,0.0059,0.003,0.0014,6.46,20.05444549,50.52428878,33.17700183,4.518012914,15.31,0,2005,8
0.07185,0.04365,0.0038,0.005,0.0015,2.265,18.65640278,50.36508333,33.05386111,3.749666667,15.2,0,2005,9
0.05675,0.0277,0.0011,0.013,0.0015,4.27,16.84086022,50.74586694,33.31760753,5.621841398,12.74409786,3.554,2005,10
0.0656,0.0216,0.00135,0.008,0.0011,1.695,14.09006944,50.58261111,33.14173611,6.101388889,14.03768595,18.529,2005,11
0.0591,0.0192,0.00365,0.024,0.0009,1.345,12.13615591,44.49834543,28.69873656,6.323575269,12.44036257,159.371,2005,12
0.0885,0.2318,0.0657,0.24505,0.31075,2.625,12.46559493,41.00596102,26.24608093,6.666302349,11.24444148,89.083,2006,1
0.04845,0.0474,0.00835,0.03565,0.044,3.26,13.82633929,48.58426339,31.64546131,7.33891369,11.65442739,28.423,2006,2
