Orthophosphate,Ammonium,Nitrite,Nitrate,Nitrite + Nitrate,Chlorophyll,Temperature of water,Specific Conductance ,Salinity,Dissolved Oxygen,Air Temperature ,Precipitation,year,month
0.04305,0.0635,0.02705,0.4762,0.50325,3.525,13.86626344,43.57498656,28.09630376,7.36875,13.13408424,37.047,2003,1
0.03035,0.0529,0.0076,0.11145,0.11905,2.045,13.20922619,47.00086281,30.51497859,8.158526021,10.98604911,43.901,2003,2
0.02955,0.0458,0.00575,0.1226,0.12835,1.98,16.79415323,45.63743333,29.60466667,7.617666667,11.62046371,25.124,2003,3
0.0357,0.0428,0.00845,0.06085,0.0693,2.65,16.78236111,48.49606618,31.68480392,12.70147059,11.30017361,63.199,2003,4
0.0314,0.0495,0.00235,0.0232,0.0256,2.785,18.62836022,46.94558468,30.56653226,7.121706989,12.99109543,7.106,2003,5
0.03825,0.087275,0.005775,0.068625,0.074375,2.2775,19.87506111,49.35035778,32.32800278,3.897170833,14.43645833,0,2003,6
0.08955,0.0206,0.00315,0.003,0.0061,0.225,20.75504032,46.11232527,32.26330645,4.524089506,14.32093414,0,2003,7
0.08955,0.0206,0.00315,0.003,0.0061,0.225,22.07923387,50.79162634,33.75241935,3.747428902,16.5437836,1.269,2003,8
0.0547,0.19825,0.01395,0.034,0.04795,3.74,21.00459519,47.37204658,30.89332317,2.930394834,16.33604167,0,2003,9
0.04595,0.14315,0.01615,0.02455,0.0407,1.295,17.83887066,51.84024537,34.15636097,5.041428596,15.89452285,0,2003,10
0.03015,0.0685,0.00885,0.0442,0.05395,0.735,13.65315833,46.31845083,31.88750556,6.254319444,10.87354167,38.575,2003,11
0.0325,0.0796,0.01215,0.1398,0.15195,0.24,12.112777,34.22682492,29.3181136,4.273963301,10.92150538,144.148,2003,12
0.00775,0.0491,0.00685,0.11225,0.1191,4.5,11.67258065,36.01071237,27.26444892,7.105241935,9.544656103,49.989,2004,1
0.0268,0.062,0.02175,0.23685,0.2586,2.685,12.81716954,42.81551006,27.52377874,8.339511494,10.34614851,129.935,2004,2
0.03425,0.0437,0.0019,0.0857,0.0914,3.7,17.11383097,43.15878737,27.85399128,7.637422961,12.82316716,18.018,2004,3
0.03645,0.05775,0.01995,0.0981,0.11805,4.625,18.0283747,49.23842332,32.23936466,7.152086476,12.30071977,7.106,2004,4
0.05335,0.0658,0.00895,0.0545,0.06345,5.67,19.57869624,52.14191532,34.37526882,7.652700739,13.44624029,3.046,2004,5
0.0462,0.0574,0.00565,0.03175,0.0374,8.28,19.88769208,52.54039815,34.67550926,5.459195652,14.15545177,0,2004,6
0.05315,0.07845,0.0042,0.0008,0.005,2.91,20.80127688,53.06681452,35.06438172,2.244825269,14.27623161,0.254,2004,7
0.0458,0.08735,0.0132,0.0294,0.0291,8,21.45611559,53.58082661,35.44448925,3.642002688,14.92428338,0,2004,8
0.0629,0.0343,0.00355,0.00585,0.0094,4.935,20.53083333,54.47885417,36.12423611,4.426944444,15.32299728,0.508,2004,9
0.0583,0.18565,0.0109,0.0452,0.0561,4.265,17.93859127,51.74153439,34.08971561,5.379861111,13.59570502,83.242,2004,10
0.03555,0.1495,0.01445,0.06185,0.0763,3.575,11.07916667,51.34041667,33.575,9.358333333,11.55550964,34.518,2004,11
0.0062,0.009,0.0036,0.0119,0.0155,18.035,11.60383065,48.23046371,31.34979839,8.065927419,10.68279472,159.372,2004,12
0.00755,0.00475,0.0063,0.0404,0.0467,18.14,12.5487109,41.67490591,26.70933529,7.135960411,10.50558269,103.783,2005,1
0.03615,0.0546,0.00875,0.10375,0.1125,0.875,14.37090774,43.45004464,28.02552083,8.286309524,12.01663459,103.54,2005,2
0.0396,0.0266,0.01065,0.1677,0.17835,4.835,16.46263441,40.64365079,26.05508787,7.890249433,12.62547839,108.364,2005,3
0.0487,0.02905,0.0118,0.1281,0.1399,3.465,17.31361111,49.44870192,32.38926282,8.6388,12.04883898,27.662,2005,4
0.092,0.06385,0.00925,0.0111,0.02035,4.145,20.19469086,51.60943548,33.98071237,6.386000359,14.00999733,17.766,2005,5
0.0476,0.0188,0.00465,0.001,0.0025,9.015,20.15166667,51.8925625,34.19777778,4.804922228,13.12190083,1.777,2005,6
0.0448,0.0073,0.0083,0.001,0.0047,84.28,21.10396505,49.5277957,32.46236559,3.231448413,14.64,0,2005,7
0.0545,0.0834,0.011,0.002,0.01155,18.235,20.57567204,48.16183468,31.46619624,5.960334339,15.31,0,2005,8
0.09415,0.0567,0.01335,0.00145,0.0148,8.425,19.31402778,50.52976389,33.19951389,3.50375,15.2,0,2005,9
0.057,0.07695,0.0074,0.00585,0.01325,3.765,17.50009601,51.47069028,33.8827477,6.380645161,12.74409786,3.554,2005,10
